Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MIP
152,Randy Foye\foyera01,SG,27,LAC,63,24,24.6,3.3,8.4,0.388,1.1,3.4,0.327,2.1,5,0.43,0.455,2.1,2.4,0.893,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,9.8,11.4,0.516,0.409,0.281,1,6.7,3.9,17.5,1.6,1.1,13.7,19.9,0.9,0.8,1.7,0.051,-0.8,-1.8,-2.6,-0.2,0
153,Channing Frye\fryech01,PF,27,PHO,77,64,33,4.6,10.8,0.432,2.2,5.7,0.39,2.4,5.1,0.479,0.535,1.2,1.4,0.832,0.8,5.8,6.7,1.2,0.6,1,0.9,3.5,12.7,12.8,0.557,0.53,0.129,3,20.4,11.7,5.7,0.9,2.3,7.7,16.9,2.7,2.1,4.7,0.09,0.7,0.5,1.2,2,0
157,Francisco Garc°a\garcifr01,SF,29,SAC,58,34,23.9,3.6,8.2,0.436,1.4,3.9,0.362,2.2,4.3,0.502,0.521,1.1,1.3,0.855,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,9.7,13.5,0.551,0.472,0.16,1.9,9.2,5.5,8,1.9,2.6,8.1,17.3,1.9,1.1,3,0.104,0.6,0,0.7,0.9,0
158,Kevin Garnett\garneke01,PF,34,BOS,71,71,31.3,6.1,11.6,0.528,0,0.1,0.2,6.1,11.5,0.53,0.529,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2,11.1,22.3,3.4,5.6,9,0.194,0,4.1,4,3.4,0
159,Marc Gasol\gasolma01,C,26,MEM,81,81,31.9,4.5,8.5,0.527,0,0.1,0.429,4.5,8.4,0.528,0.529,2.7,3.6,0.748,1.9,5.1,7,2.5,0.9,1.7,1.8,3.3,11.7,16.8,0.58,0.01,0.425,7.1,19.4,13.1,11.6,1.5,4.3,15.1,16.9,4,3.9,7.9,0.146,0.2,3.4,3.6,3.6,0
160,Pau Gasol\gasolpa01,C,30,LAL,82,82,37,7.2,13.7,0.529,0,0,0.333,7.2,13.6,0.53,0.53,4.3,5.2,0.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,10,4.7,14.7,0.232,3,2.2,5.3,5.6,0
161,Rudy Gay\gayru01,SF,24,MEM,54,54,39.9,7.6,16.1,0.471,1.1,2.7,0.396,6.5,13.4,0.486,0.503,3.6,4.5,0.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8,17.8,0.548,0.166,0.277,4.5,14.2,9.3,11.6,2.2,2.2,12.2,23.3,2.7,2.9,5.5,0.123,1.4,1.4,2.7,2.6,0
163,Paul George\georgpa01,SG,20,IND,61,19,20.7,2.9,6.5,0.453,0.7,2.3,0.297,2.3,4.2,0.537,0.505,1.3,1.7,0.762,0.6,3.1,3.7,1.1,1,0.4,1.1,2.1,7.8,13,0.542,0.349,0.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,0.5,1.9,2.4,0.091,-1.2,1.2,0,0.6,0
164,Daniel Gibson\gibsoda01,SG,24,CLE,67,15,27.8,3.9,9.9,0.4,1.8,4.4,0.403,2.2,5.5,0.398,0.489,2,2.4,0.822,0.4,2.3,2.6,3,0.7,0.3,1.2,2.3,11.6,13.2,0.533,0.444,0.247,1.4,9.7,5.5,18.3,1.3,0.9,9.9,19.7,2,0.4,2.4,0.062,1,-2,-1,0.5,0
165,Taj Gibson\gibsota01,PF,25,CHI,80,19,21.8,2.9,6.3,0.466,0,0.1,0.125,2.9,6.2,0.472,0.467,1.3,1.9,0.676,2,3.7,5.7,0.7,0.5,1.3,0.9,2.5,7.1,14.3,0.502,0.016,0.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1,16.8,1.4,3.8,5.2,0.143,-2.7,2.8,0,0.9,0
166,Manu Gin¢bili\ginobma01,SG,33,SAS,80,79,30.3,5.5,12.7,0.433,1.9,5.5,0.349,3.6,7.2,0.497,0.509,4.5,5.1,0.871,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2,17.4,21.7,0.581,0.433,0.403,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,6.6,3.2,9.9,0.195,4.9,0.4,5.3,4.5,0
167,Ryan Gomes\gomesry01,SF,28,LAC,76,62,27.6,2.7,6.6,0.41,0.9,2.8,0.341,1.8,3.9,0.459,0.481,0.8,1.1,0.718,0.8,2.5,3.3,1.6,0.8,0.2,0.7,2.1,7.2,9,0.504,0.418,0.168,3.4,10.7,7.1,8.5,1.5,0.4,9.2,12.7,1.3,1.2,2.5,0.057,-1,-0.1,-1.1,0.5,0
168,Drew Gooden\goodedr01,PF,29,MIL,35,18,24.6,4.5,10.3,0.431,0.1,0.6,0.15,4.4,9.8,0.447,0.435,2.3,2.9,0.794,2.1,4.7,6.8,1.3,0.6,0.5,1.3,2.8,11.3,15.9,0.487,0.055,0.282,9.6,22.9,16.1,10.3,1.3,1.6,10.2,24.6,0.3,1.5,1.8,0.101,-2.3,0.8,-1.5,0.1,0
